sent_time,chat_message,cluster_num,x,y
00:00:45.395000,h\1\1,6,-0.9812609,-0.7538617
00:00:45.482000,hi,1,-0.86891156,-0.3875266
00:00:45.508000,hi,1,-0.86891156,-0.3875266
00:00:45.567000,hello,1,-0.9108303,-0.45763686
00:00:45.844000,whats up !,5,0.46781155,-0.4244715
00:00:46.161000,h\1\1,6,-0.9812609,-0.7538617
00:00:46.192000,monkaw ?,14,-0.38679153,-0.5851821
00:00:46.353000,h\1\1y !,8,-0.4794065,-1.8745931
00:00:46.494000,hello !,8,-0.25256678,-1.400702
00:00:46.494000,h\1\1,6,-0.9812609,-0.7538617
00:00:46.848000,hii,6,-1.0089227,-1.3444159
00:00:46.960000,hii,6,-1.0089227,-1.3444159
00:00:47.183000,hii,6,-1.0089227,-1.3444159
00:00:47.503000,h\1\1,6,-0.9812609,-0.7538617
00:00:47.533000,"hi ! ,",8,0.16914311,-1.2495608
00:00:47.560000,hi king,14,-0.21431431,-0.740784
00:00:47.579000,good morning !,5,0.4988882,-0.41183686
00:00:47.665000,h\1\1,6,-0.9812609,-0.7538617
00:00:47.734000,h\1\1,6,-0.9812609,-0.7538617
00:00:47.770000,what happened,9,0.3866796,1.2381878
00:00:47.774000,hello,1,-0.9108303,-0.45763686
00:00:47.825000,you look different what happened,15,1.3497416,0.66051924
00:00:47.914000,hi,1,-0.86891156,-0.3875266
00:00:48.197000,what are you drinking today ?,11,1.636202,0.29548365
00:00:48.268000,hi,1,-0.86891156,-0.3875266
00:00:48.332000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:48.366000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:48.430000,h\1\1,6,-0.9812609,-0.7538617
00:00:48.502000,hello :),14,-0.34244135,-0.83714277
00:00:48.545000,hi !,8,-0.23769423,-1.3979746
00:00:48.552000,a necklace,12,0.1834657,0.08839369
00:00:48.642000,h\1\1,6,-0.9812609,-0.7538617
00:00:48.801000,hi,1,-0.86891156,-0.3875266
00:00:48.826000,i was waiting for your live lol,11,1.7696639,0.24981153
00:00:48.838000,ily,6,-0.8853896,-0.74356455
00:00:48.840000,bro what happened,0,0.5176353,0.4297625
00:00:48.865000,hi sy\1\1,8,-0.48754892,-1.123819
00:00:49.139000,hi,1,-0.86891156,-0.3875266
00:00:49.165000,h\1\1 bu\1\1,6,-0.7937813,-0.99802494
00:00:49.404000,h\1\1,6,-0.9812609,-0.7538617
00:00:49.414000,the sticker,9,0.39716825,1.3687826
00:00:49.781000,hell\1\1,6,-1.047774,-1.1831256
00:00:49.893000,what's happened to your neck ?,11,1.4728674,-0.15331207
00:00:49.896000,hell\1\1,6,-1.047774,-1.1831256
00:00:49.954000,hello !,8,-0.25256678,-1.400702
00:00:50.027000,hi syk ! it's great to see you :D,2,1.6217668,-0.7630893
00:00:50.057000,hi,1,-0.86891156,-0.3875266
00:00:50.073000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:50.109000,how are youu,11,1.1635342,-0.14714971
00:00:50.116000,hey !,8,-0.2248543,-1.1769686
00:00:50.200000,hey\1\1,6,-1.0247474,-1.1103388
00:00:50.932000,he\1\1,6,-1.0498865,-0.841872
00:00:51.058000,hey,1,-0.8624938,-0.014734271
00:00:51.084000,hi,1,-0.86891156,-0.3875266
00:00:51.226000,! hi,8,-0.23769423,-1.3979746
00:00:51.476000,hi !,8,-0.23769423,-1.3979746
00:00:51.847000,h\1\1,6,-0.9812609,-0.7538617
00:00:51.923000,haaii,6,-1.0604029,-1.1300367
00:00:51.926000,h\1\1,6,-0.9812609,-0.7538617
00:00:51.965000,are u ok ?,11,1.1857928,0.10736764
00:00:51.997000,h\1\1,6,-0.9812609,-0.7538617
00:00:52.024000,h\1\1,6,-0.9812609,-0.7538617
00:00:52.064000,h\1\1,6,-0.9812609,-0.7538617
00:00:52.112000,oh my,13,0.5382695,1.4676977
00:00:52.139000,hick -,8,-0.08444619,-1.3813661
00:00:52.177000,hi,1,-0.86891156,-0.3875266
00:00:52.301000,u look great,15,0.88229495,1.033766
00:00:52.310000,wow you look great today !,11,1.1748955,-0.2403147
00:00:52.360000,guys its only a band aid fine,5,1.092264,-0.31251156
00:00:52.377000,what happened neck,0,0.6918078,0.65592253
00:00:52.396000,hi bu\1\1,8,-0.456597,-1.0865176
00:00:52.427000,umm why the bandaid ? you okay,15,1.2186661,0.4583349
00:00:52.554000,what happened to your neck ?,11,1.5164119,0.018252544
00:00:52.609000,monkaw n,14,-0.33780485,-0.7220395
00:00:52.643000,45 seconds late,5,0.35296413,-0.66993284
00:00:52.790000,what happened to ur neck,11,1.3250777,0.15051343
00:00:53.215000,omg,7,-0.94665474,0.32056096
00:00:53.283000,morning !,14,-0.16377753,-0.82383806
